,img,instruction,block_n,animacy,style,img_name,verb
124,/static/object_pics/drawing_bird/turkey.jpg,perceptual,7,animate,drawing,turkey.jpg,adjusted
125,/static/object_pics/drawing_fruit/kiwi.jpg,perceptual,7,inanimate,drawing,kiwi.jpg,walk
126,/static/object_pics/drawing_clothe/high heels.jpg,semantic,7,inanimate,drawing,high heels.jpg,explode
127,/static/object_pics/drawing_veggie/mushrooms.jpg,semantic,7,inanimate,drawing,mushrooms.jpg,cross
128,/static/object_pics/drawing_clothe/gloves.jpg,semantic,8,inanimate,drawing,gloves.jpg,flash
129,/static/object_pics/drawing_sea/swordfish.jpg,semantic,8,animate,drawing,swordfish.jpg,bury
130,/static/object_pics/drawing_bird/toucan.jpg,perceptual,8,animate,drawing,toucan.jpg,strike
131,/static/object_pics/drawing_fruit/pear.jpg,perceptual,8,inanimate,drawing,pear.jpg,jump
132,/static/object_pics/drawing_sea/killer whale.jpg,semantic,8,animate,drawing,killer whale.jpg,arrange
133,/static/object_pics/picture_bird/peacock.jpg,perceptual,8,animate,photo,peacock.jpg,kick
134,/static/object_pics/picture_bird/canary.jpg,perceptual,8,animate,photo,canary.jpg,catapult
135,/static/object_pics/drawing_mammal/rabbit.jpg,semantic,8,animate,drawing,rabbit.jpg,drill
136,/static/object_pics/drawing_fruit/pear.jpg,semantic,8,inanimate,drawing,pear.jpg,jump
137,/static/object_pics/drawing_clothe/gloves.jpg,perceptual,8,inanimate,drawing,gloves.jpg,flash
138,/static/object_pics/picture_bird/canary.jpg,semantic,8,animate,photo,canary.jpg,catapult
139,/static/object_pics/drawing_sea/swordfish.jpg,perceptual,8,animate,drawing,swordfish.jpg,bury
140,/static/object_pics/drawing_sea/killer whale.jpg,perceptual,8,animate,drawing,killer whale.jpg,arrange
141,/static/object_pics/drawing_mammal/rabbit.jpg,perceptual,8,animate,drawing,rabbit.jpg,drill
142,/static/object_pics/picture_bird/peacock.jpg,semantic,8,animate,photo,peacock.jpg,kick
143,/static/object_pics/drawing_bird/toucan.jpg,semantic,8,animate,drawing,toucan.jpg,strike
144,/static/object_pics/picture_bird/parrot.jpg,perceptual,9,animate,photo,parrot.jpg,swim
145,/static/object_pics/drawing_electronic/gamepad.jpg,perceptual,9,inanimate,drawing,gamepad.jpg,clean
146,/static/object_pics/picture_electronic/coffee maker.jpg,semantic,9,inanimate,photo,coffee maker.jpg,throw
147,/static/object_pics/drawing_veggie/aubergine.jpg,perceptual,9,inanimate,drawing,aubergine.jpg,wipe
148,/static/object_pics/drawing_sea/eel.jpg,semantic,9,animate,drawing,eel.jpg,blur
149,/static/object_pics/picture_clothe/slipper.jpg,semantic,9,inanimate,photo,slipper.jpg,harm
150,/static/object_pics/drawing_insect/snail.jpg,perceptual,9,animate,drawing,snail.jpg,center
151,/static/object_pics/drawing_mammal/rhinoceros.jpg,semantic,9,animate,drawing,rhinoceros.jpg,hold
152,/static/object_pics/drawing_sea/eel.jpg,perceptual,9,animate,drawing,eel.jpg,blur
153,/static/object_pics/picture_clothe/slipper.jpg,perceptual,9,inanimate,photo,slipper.jpg,harm
154,/static/object_pics/picture_bird/parrot.jpg,semantic,9,animate,photo,parrot.jpg,swim
155,/static/object_pics/drawing_electronic/gamepad.jpg,semantic,9,inanimate,drawing,gamepad.jpg,clean
156,/static/object_pics/drawing_veggie/aubergine.jpg,semantic,9,inanimate,drawing,aubergine.jpg,wipe
157,/static/object_pics/drawing_mammal/rhinoceros.jpg,perceptual,9,animate,drawing,rhinoceros.jpg,hold
158,/static/object_pics/drawing_insect/snail.jpg,semantic,9,animate,drawing,snail.jpg,center
159,/static/object_pics/picture_electronic/coffee maker.jpg,perceptual,9,inanimate,photo,coffee maker.jpg,throw
160,/static/object_pics/drawing_bird/duck.jpg,perceptual,10,animate,drawing,duck.jpg,chain
161,/static/object_pics/drawing_electronic/computer mouse.jpg,semantic,10,inanimate,drawing,computer mouse.jpg,spin
162,/static/object_pics/picture_clothe/jeans.jpg,perceptual,10,inanimate,photo,jeans.jpg,melt
163,/static/object_pics/drawing_insect/bumble bee.jpg,semantic,10,animate,drawing,bumble bee.jpg,break
164,/static/object_pics/drawing_electronic/printer.jpg,semantic,10,inanimate,drawing,printer.jpg,swing
165,/static/object_pics/picture_veggie/tomato.jpg,perceptual,10,inanimate,photo,tomato.jpg,squeeze
166,/static/object_pics/picture_clothe/hat.jpg,semantic,10,inanimate,photo,hat.jpg,rub
167,/static/object_pics/drawing_clothe/bowtie.jpg,perceptual,10,inanimate,drawing,bowtie.jpg,remove
168,/static/object_pics/drawing_bird/duck.jpg,semantic,10,animate,drawing,duck.jpg,chain
169,/static/object_pics/drawing_electronic/printer.jpg,perceptual,10,inanimate,drawing,printer.jpg,swing
170,/static/object_pics/picture_clothe/jeans.jpg,semantic,10,inanimate,photo,jeans.jpg,melt
171,/static/object_pics/drawing_electronic/computer mouse.jpg,perceptual,10,inanimate,drawing,computer mouse.jpg,spin
172,/static/object_pics/drawing_insect/bumble bee.jpg,perceptual,10,animate,drawing,bumble bee.jpg,break
173,/static/object_pics/picture_clothe/hat.jpg,perceptual,10,inanimate,photo,hat.jpg,rub
174,/static/object_pics/drawing_clothe/bowtie.jpg,semantic,10,inanimate,drawing,bowtie.jpg,remove
